Date,Infected,Recovered,Death,Vaccinated
2021-01-09,991.2857142857143,29637.714285714286,44.857142857142854,1.1428571428571428
2021-01-10,992.4285714285714,30571.285714285714,45.42857142857143,1.1428571428571428
2021-01-11,1009.0,31546.0,43.57142857142857,1.8571428571428572
2021-01-12,1002.1428571428571,32538.0,42.857142857142854,2.142857142857143
2021-01-13,948.1428571428571,33477.857142857145,42.57142857142857,2.5714285714285716
2021-01-14,898.5714285714286,34408.142857142855,38.0,2.0
2021-01-15,873.1428571428571,35277.42857142857,38.42857142857143,3.0
2021-01-16,859.2857142857143,36121.857142857145,37.285714285714285,3.142857142857143
2021-01-17,847.2857142857143,36933.57142857143,36.0,3.2857142857142856
2021-01-18,788.2857142857143,37744.0,34.57142857142857,6.285714285714286
2021-01-19,749.4285714285714,38545.0,34.57142857142857,6.571428571428571
2021-01-20,712.2857142857143,39330.142857142855,32.857142857142854,9.428571428571429
2021-01-21,686.7142857142857,40071.71428571428,32.57142857142857,9.285714285714286
2021-01-22,647.8571428571429,40810.28571428572,33.142857142857146,9.857142857142858
2021-01-23,641.4285714285714,41551.0,32.714285714285715,11.285714285714286
2021-01-24,622.7142857142857,42290.57142857143,31.571428571428573,11.571428571428571
2021-01-25,604.4285714285714,43009.42857142857,30.714285714285715,10.571428571428571
2021-01-26,578.4285714285714,43765.142857142855,27.571428571428573,15.571428571428571
2021-01-27,559.7142857142857,44597.71428571428,27.285714285714285,16.428571428571427
2021-01-28,528.7142857142857,45497.857142857145,27.714285714285715,18.0
2021-01-29,521.8571428571429,46449.42857142857,26.285714285714285,17.428571428571427
2021-01-30,503.57142857142856,47401.71428571428,27.571428571428573,16.857142857142858
2021-01-31,499.7142857142857,48373.57142857143,26.571428571428573,16.857142857142858
2021-02-01,488.42857142857144,49339.28571428572,25.857142857142858,14.857142857142858
2021-02-02,479.0,50251.0,25.857142857142858,12.0
2021-02-03,471.14285714285717,51114.42857142857,25.142857142857142,11.285714285714286
2021-02-04,468.57142857142856,51951.142857142855,25.428571428571427,11.571428571428571
2021-02-05,458.2857142857143,52775.71428571428,24.857142857142858,12.857142857142858
2021-02-06,442.7142857142857,53590.0,22.428571428571427,12.285714285714286
2021-02-07,433.85714285714283,54344.42857142857,21.857142857142858,11.857142857142858
2021-02-08,411.2857142857143,55058.857142857145,21.714285714285715,11.428571428571429
2021-02-09,355.7142857142857,55738.42857142857,20.714285714285715,9.285714285714286
2021-02-10,322.0,56393.0,20.142857142857142,9.571428571428571
2021-02-11,314.42857142857144,57012.0,18.714285714285715,8.571428571428571
2021-02-12,315.14285714285717,57622.71428571428,18.0,7.571428571428571
2021-02-13,316.42857142857144,58215.28571428572,17.285714285714285,8.142857142857142
2021-02-14,320.57142857142856,58793.57142857143,17.285714285714285,8.571428571428571
2021-02-15,333.7142857142857,59347.0,17.0,9.285714285714286
2021-02-16,373.57142857142856,59882.42857142857,17.428571428571427,10.428571428571429
2021-02-17,388.2857142857143,60388.57142857143,17.428571428571427,9.571428571428571
2021-02-18,385.2857142857143,60887.857142857145,17.571428571428573,8.571428571428571
2021-02-19,390.85714285714283,61371.57142857143,17.285714285714285,8.857142857142858
2021-02-20,390.85714285714283,61851.28571428572,16.857142857142858,9.714285714285714
2021-02-21,382.0,62320.28571428572,16.0,10.142857142857142
2021-02-22,384.14285714285717,62780.57142857143,17.285714285714285,10.428571428571429
2021-02-23,383.14285714285717,63234.0,17.571428571428573,11.0
