suseptible,Infected,Recovered,Dead
349999.28571428574,0.7142857142857143,0.0,0.0
349999.28571428574,0.7142857142857143,0.0,0.0
349999.14285714284,0.8571428571428571,0.0,0.0
349999.14285714284,0.8571428571428571,0.0,0.0
349999.5714285714,0.42857142857142855,0.0,0.0
349999.14285714284,0.8571428571428571,0.0,0.0
349999.14285714284,0.8571428571428571,0.0,0.0
349999.28571428574,0.7142857142857143,0.0,0.0
349999.14285714284,0.8571428571428571,0.0,0.0
349999.4285714286,0.5714285714285714,0.0,0.0
349999.4285714286,0.5714285714285714,0.0,0.0
349999.0,0.5714285714285714,0.42857142857142855,0.0
349999.4285714286,0.14285714285714285,0.42857142857142855,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.71428571426,0.2857142857142857,0.0,0.0
349999.71428571426,0.2857142857142857,0.0,0.0
349999.85714285716,0.14285714285714285,0.0,0.0
349999.85714285716,0.14285714285714285,0.0,0.0
350000.0,0.0,0.0,0.0
349999.4285714286,0.2857142857142857,0.2857142857142857,0.0
349999.4285714286,0.2857142857142857,0.2857142857142857,0.0
349999.4285714286,0.2857142857142857,0.2857142857142857,0.0
349999.4285714286,0.2857142857142857,0.2857142857142857,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.28571428574,0.2857142857142857,0.42857142857142855,0.0
349999.14285714284,0.42857142857142855,0.42857142857142855,0.0
349999.5714285714,0.14285714285714285,0.2857142857142857,0.0
349998.28571428574,1.2857142857142858,0.2857142857142857,0.14285714285714285
349997.28571428574,2.2857142857142856,0.2857142857142857,0.14285714285714285
349993.28571428574,5.571428571428571,0.2857142857142857,0.8571428571428571
349990.5714285714,8.285714285714286,0.14285714285714285,1.0
349985.28571428574,13.0,0.14285714285714285,1.5714285714285714
349974.28571428574,23.857142857142858,0.14285714285714285,1.7142857142857142
349966.5714285714,31.428571428571427,0.0,2.0
349943.71428571426,54.0,0.0,2.2857142857142856
349927.5714285714,69.57142857142857,0.0,2.857142857142857
349920.71428571426,77.0,0.0,2.2857142857142856
349895.71428571426,101.14285714285714,0.14285714285714285,3.0
349848.14285714284,148.57142857142858,0.14285714285714285,3.142857142857143
349794.5714285714,200.28571428571428,0.7142857142857143,4.428571428571429
349710.85714285716,283.14285714285717,0.7142857142857143,5.285714285714286
349625.5714285714,367.85714285714283,0.7142857142857143,5.857142857142857
349607.5714285714,384.7142857142857,0.7142857142857143,7.0
349404.28571428574,583.5714285714286,1.4285714285714286,10.714285714285714
349165.0,818.5714285714286,1.2857142857142858,15.142857142857142
348817.14285714284,1146.0,13.857142857142858,23.0
348227.28571428574,1725.2857142857142,15.571428571428571,31.857142857142858
347390.4285714286,2544.4285714285716,19.285714285714285,45.857142857142854
346624.5714285714,3292.4285714285716,23.428571428571427,59.57142857142857
345367.0,4533.142857142857,23.714285714285715,76.14285714285714
343961.28571428574,5916.714285714285,23.0,99.0
342652.5714285714,7171.714285714285,47.285714285714285,128.42857142857142
341271.4285714286,8524.57142857143,36.57142857142857,167.42857142857142
339274.85714285716,10428.42857142857,80.0,216.71428571428572
337446.0,12174.714285714286,103.14285714285714,276.14285714285717
335024.14285714284,14484.57142857143,128.0,363.2857142857143
333706.14285714284,15514.285714285714,355.2857142857143,424.2857142857143
331634.5714285714,17086.0,780.8571428571429,498.57142857142856
329090.4285714286,19337.85714285714,953.7142857142857,618.0
325989.71428571426,22098.571428571428,1159.0,752.7142857142857
323765.71428571426,24136.714285714286,1188.5714285714287,909.0
321618.71428571426,26081.428571428572,1262.5714285714287,1037.2857142857142
319424.14285714284,27471.0,1940.0,1164.857142857143
317226.85714285716,29344.571428571428,2111.8571428571427,1316.7142857142858
315833.2857142857,30712.428571428572,1991.0,1463.2857142857142
314978.5714285714,31238.714285714286,2105.5714285714284,1677.142857142857
314857.5714285714,31185.285714285714,2155.0,1802.142857142857
314064.85714285716,31688.571428571428,2344.1428571428573,1902.4285714285713
313268.4285714286,31993.571428571428,2726.1428571428573,2011.857142857143
313975.2857142857,31562.428571428572,2374.0,2088.285714285714
314489.2857142857,31163.714285714286,2220.0,2127.0
313929.5714285714,30494.0,3414.4285714285716,2162.0
313889.28571428574,30248.85714285714,3714.285714285714,2147.5714285714284
314242.85714285716,29470.571428571428,4076.714285714286,2209.8571428571427
314987.14285714284,28621.714285714286,4184.714285714285,2206.4285714285716
315154.2857142857,28401.0,4250.714285714285,2194.0
314825.0,28213.428571428572,4795.714285714285,2165.8571428571427
314387.4285714286,28097.714285714286,5335.571428571428,2179.285714285714
315137.4285714286,28524.14285714286,4121.0,2217.4285714285716
315683.14285714284,28178.14285714286,3920.1428571428573,2218.5714285714284
315475.2857142857,28714.714285714286,3610.0,2200.0
315022.0,29101.571428571428,3642.8571428571427,2233.5714285714284
312986.0,28979.85714285714,5790.571428571428,2243.5714285714284
313230.14285714284,29480.571428571428,5076.0,2213.285714285714
313081.5714285714,29551.714285714286,5235.857142857143,2130.8571428571427
313612.71428571426,28780.714285714286,5585.0,2021.5714285714287
313625.71428571426,28568.428571428572,5818.857142857143,1987.0
313657.85714285716,28171.14285714286,6193.428571428572,1977.5714285714287
309823.2857142857,27697.428571428572,10534.857142857143,1944.4285714285713
310642.85714285716,28173.285714285714,9276.57142857143,1907.2857142857142
